2022-11-18 10:43:10,248 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:44:20,195 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中航机载系统有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:44:40,240 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国船舶集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:45:03,572 - __main__ - INFO - Not Found:名称 中国船舶 (香港) 航运租赁有限公司
2022-11-18 10:45:04,849 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中船九江精达科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:45:09,198 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中船九江精达科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:45:13,456 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中船九江精达科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:45:55,359 - __main__ - INFO - Not Found:名称 中船 (邯郸) 派瑞特种气体股份有限公司
2022-11-18 10:46:47,640 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:46:50,962 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:46:55,705 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:46:59,073 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:47:02,350 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:47:43,593 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=武汉重型机床集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:47:50,390 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=武汉重型机床集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:48:32,575 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:48:35,934 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:48:39,299 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:48:42,857 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:03,963 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:07,409 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:10,580 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:28,974 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=万友汽车投资有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:33,365 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=万友汽车投资有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:50,152 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=四川华川工业股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:49:54,644 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=四川华川工业股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:50:00,319 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=四川华川工业股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:50:03,766 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=四川华川工业股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:50:41,554 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:50:58,228 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技网络信息安全有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:51:01,488 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技网络信息安全有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:51:07,271 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技网络信息安全有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:52:05,084 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:52:08,494 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:52:12,295 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:52:15,453 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:53:02,837 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京首信科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:53:14,892 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京首信科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:53:52,275 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科机器人有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:54:39,592 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航发商用航空发动机有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:54:42,824 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航发商用航空发动机有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:54:46,072 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航发商用航空发动机有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:54:51,002 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航发商用航空发动机有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:54:54,078 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航发商用航空发动机有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:55:43,917 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:59:24,620 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:59:28,073 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:01:24,815 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:01:27,951 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:02:26,137 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:02:31,592 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国融通资产管理集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:03:22,973 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国船舶 (香港) 航运租赁有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:03:43,614 - __main__ - INFO - Not Found:名称 中国船舶 (香港) 航运租赁有限公司
2022-11-18 11:03:46,323 - __main__ - INFO - Not Found:名称 中船 (邯郸) 派瑞特种气体股份有限公司
2022-11-18 11:04:04,435 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=山西汾西重工有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:05:09,826 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=武汉重型机床集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:05:30,496 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:05:35,528 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:05:38,986 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科电子装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:06:30,613 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京首信科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:06:34,961 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京首信科技股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:07:31,318 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石油天然气集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:07:34,745 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石油天然气集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:09:02,626 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=昆仑能源有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:09:06,142 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=昆仑能源有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:09:09,819 - __main__ - INFO - Not Found:名称 昆仑能源有限公司
2022-11-18 11:09:11,500 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石油天然气股份有限公司润滑油分公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:09:16,033 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石油天然气股份有限公司润滑油分公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:10:02,145 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石化润滑油有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:10:10,718 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石化润滑油有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:10:15,825 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国石化润滑油有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:10:29,331 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中石化石油机械股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 11:10:33,745 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中石化石油机械股份有限公司, msg: <title>会员登录 - 企查查</title>
