比亚迪股份有限公司
江苏新日电动车股份有限公司
宁波高发汽车控制系统股份有限公司
成都豪能科技股份有限公司
宁波合力科技股份有限公司
苏州金鸿顺汽车部件股份有限公司
浙江铁流离合器股份有限公司
雪龙集团股份有限公司
襄阳长源东谷实业股份有限公司
上海克来机电自动化工程股份有限公司
南京泉峰汽车精密技术股份有限公司
宁波继峰汽车零部件股份有限公司
合兴汽车电子股份有限公司
明新旭腾新材料股份有限公司
温州市冠盛汽车零部件集团股份有限公司
上海沿浦金属制品股份有限公司
江苏嵘泰工业股份有限公司
西上海汽车服务股份有限公司
神通科技集团股份有限公司
宁波市天普橡胶科技股份有限公司
无锡市振华汽车部件股份有限公司
昆山沪光汽车电器股份有限公司
精进电动科技股份有限公司
北京经纬恒润科技股份有限公司
北京亿华通科技股份有限公司
苏州上声电子股份有限公司
武汉菱电汽车电控系统股份有限公司
九号有限公司
苏州轴承厂股份有限公司
青岛泰德汽车轴承股份有限公司
安徽凤凰滤清器股份有限公司
河南同心传动股份有限公司
苏州骏创汽车科技股份有限公司
青岛建邦汽车科技股份有限公司
湖南德众汽车销售服务股份有限公司
威海邦德散热系统股份有限公司
湖北华阳汽车变速系统股份有限公司
南通大地电气股份有限公司
众泰汽车股份有限公司
银亿股份有限公司
信质集团股份有限公司
宁波星源卓镁技术股份有限公司
赛力斯集团股份有限公司
宁波旭升集团股份有限公司
长华控股集团股份有限公司
广西东盟弗迪电池有限公司
广西弗迪电池有限公司
南宁弗迪电池有限公司
